Tag,basal_d,dbh,height,exposure,h_dbh,Notes,second coord,wsg
NA,19.8,10.6,2.1,2,,,,0.30931403
NA,20.4,9.4,1.7,2,,,,0.30931403
NA,13.8,8,0.9,1,,,,0.30931403
NA,9.5,6.1,0.5,1,,,,0.30931403
NA,10.2,7,0.5,1,,,,0.30931403
NA,13.8,8.6,0.8,2,,,,0.30931403
NA,22.3,12.7,4.95,3,,,,0.30931403
NA,26.4,13.4,4.35,3,,,,0.30931403
NA,11.2,7,0.5,1,,,,0.30931403
NA,19.7,13,3.5,2,,,,0.30931403
NA,17.5,8.2,1.3,2,,,,0.30931403
NA,14.3,8.6,0.8,2,,,,0.30931403
NA,26.4,12.8,4.2,2,,,,0.30931403
NA,28.3,13.6,4.1,2,,,,0.30931403
NA,6.5,4.4,0.5,1,,,,0.30931403
NA,11.1,7.3,0.7,1,,,,0.30931403
NA,21.3,12.1,4.2,2,,,,0.30931403
NA,13.7,8.6,1.2,1,,,,0.30931403
NA,6.3,4.4,0.4,1,,,,0.30931403
NA,17.2,8.9,0.9,1,,,,0.30931403
NA,14.3,8.2,0.7,1,,,,0.30931403
NA,21,11.8,2.9,2,,,,0.30931403
NA,15,8,1,1,,,,0.30931403
NA,21.3,9.8,2.8,2,,,,0.30931403
NA,10.5,6.3,0.6,1,,,,0.30931403
NA,11.1,7.3,0.6,1,,,,0.30931403
NA,7.9,5.8,0.5,1,,,,0.30931403
NA,18.5,8.9,1.4,2,,,,0.30931403
NA,19.1,7.9,0.9,1,,,,0.30931403
NA,13.7,6.9,0.5,1,,,,0.30931403
NA,23.8,10.8,2.4,2,,,,0.30931403
NA,19.4,11.4,2.5,2,,,,0.30931403
NA,14.1,6.7,0.7,1,,,,0.30931403
NA,15.6,6.7,0.9,1,,,,0.30931403
NA,24.2,12.1,3.4,2,,,,0.30931403
NA,8.9,5.1,0.5,1,,,,0.30931403
NA,7,4.8,0.5,1,,,,0.30931403
NA,11.5,6.1,0.5,1,,,,0.30931403
NA,20.7,10.5,1.2,1,,,,0.30931403
NA,33.4,15.7,6.2,3,,,,0.30931403
NA,24.2,12.1,4.3,3,,,,0.30931403
NA,21.1,6.3,0.5,1,,,,0.30931403
NA,18.2,11.1,1.2,2,,,,0.30931403
NA,19.7,9.8,1.9,2,,,,0.30931403
NA,24.6,10.1,2.2,2,,,,0.30931403
NA,15.7,10.8,1,1,,,,0.30931403
NA,12.3,6.1,0.6,1,,,,0.30931403
NA,23.8,13.1,3.5,2,,,,0.30931403
NA,18.2,10.2,1.9,2,,,,0.30931403
NA,16,9.3,0.8,1,,,,0.30931403
NA,15,8.3,1,1,,,,0.30931403
NA,15.3,7.6,0.8,1,,,,0.30931403
NA,20.7,11.5,3.1,3,,,,0.30931403
NA,18.2,10.2,2.1,2,,,,0.30931403
NA,28.3,11.8,2.2,2,,,,0.30931403
NA,8.9,5.4,0.7,1,,,,0.30931403
NA,8,5.4,0.5,1,,,,0.30931403
NA,7.7,5.2,0.5,1,,,,0.30931403
NA,7,4.5,0.4,1,,,,0.30931403
NA,8,4.1,0.4,1,,,,0.30931403
NA,14,7.9,1.7,2,,,,0.30931403
NA,12.7,5.7,0.9,1,,,,0.30931403
NA,20.6,11.2,2.1,2,,,,0.30931403
NA,31.5,14.3,6.5,3,,,,0.30931403
NA,10.8,6.1,0.8,1,,,,0.30931403
NA,13.1,5.4,0.6,1,,,,0.30931403
NA,23.2,11.7,1.3,2,,,,0.30931403
NA,21.1,12.7,0.9,1,,,,0.30931403
NA,14,5.4,0.7,1,,,,0.30931403
NA,18.8,11.8,1,1,,,,0.30931403
NA,30.6,14,9.6,3,,,,0.30931403
NA,12.4,7,0.9,1,,,,0.30931403
NA,8.3,4.8,0.5,1,,,,0.30931403
NA,20.7,10.2,1.5,2,,,,0.30931403
NA,13.7,9.8,1,1,,,,0.30931403
NA,14.1,8.9,0.8,1,,,,0.30931403
NA,7,5.1,0.5,1,,,,0.30931403
NA,9,5.7,0.5,1,,,,0.30931403
NA,13.7,6.3,0.6,1,,,,0.30931403
NA,22.6,12.1,3.1,2,,,,0.30931403
NA,14.7,11.1,0.6,1,,,,0.30931403
NA,30.6,14.6,4.45,2,,,,0.30931403
NA,26.7,10.8,3.8,2,,,,0.30931403
NA,15.1,12.4,0.7,1,,,,0.30931403
NA,15.3,9.5,0.9,1,,,,0.30931403
NA,30.9,14.1,4,2,,,,0.30931403
NA,21.4,10.4,2,2,,,,0.30931403
NA,12.7,9.1,0.8,2,,,,0.30931403
NA,16.2,9.5,0.8,2,,,,0.30931403
NA,24.5,15,1.9,2,,,,0.30931403
NA,30.3,16.6,1.4,2,,,,0.30931403
NA,18.8,13.7,0.9,2,,,,0.30931403
NA,17.6,10.4,0.8,2,,,,0.30931403
NA,17.2,13.1,0.7,2,,,,0.30931403
NA,19.4,9.8,1.1,2,,,,0.30931403
NA,18.8,17.5,1.1,2,,,,0.30931403
NA,18.3,13.3,0.9,2,,,,0.30931403
NA,20.4,13.3,1.3,2,,,,0.30931403
NA,17.8,12.2,1.3,2,,,,0.30931403
NA,21.7,13.7,3.9,2,,,,0.30931403
NA,28.6,12.7,3.4,2,,,,0.30931403
NA,22.9,17.5,3.3,2,,,,0.30931403
NA,26.4,15.3,6.55,3,,,,0.30931403
NA,32.5,15.6,6.95,3,,,,0.30931403
NA,33.4,16,10,4,,,,0.30931403
NA,NA,17.5,8.8,3,,Other tree was grown against the base of the palm,,0.30931403
NA,19.4,9.9,1.5,2,,,,0.30931403
NA,24.2,12.4,1.4,2,,,,0.30931403
NA,26.1,14.3,3.65,2,,,,0.30931403
NA,17.2,10.2,1.8,2,,,,0.30931403
NA,30.6,14.6,7.7,3,,,,0.30931403
NA,36,18.4,9.8,3,,,,0.30931403
NA,37.5,17.5,8,3,,,,0.30931403
NA,19.7,15.9,1.5,2,,,,0.30931403
NA,29,13.7,4.1,2,,,,0.30931403
NA,20.1,10.4,2.7,2,,,,0.30931403
NA,23.5,11.1,2.8,2,,,,0.30931403
NA,14.3,12.2,0.9,1,,,,0.30931403
NA,27.7,11.7,2.2,2,,,,0.30931403
NA,23.6,15.9,1.3,2,,,,0.30931403
NA,25.5,12.1,2.5,2,,,,0.30931403
NA,22,13.6,1.5,2,,,,0.30931403
NA,20.4,16,1.4,2,,,,0.30931403
NA,25.8,13.3,1.4,2,,,,0.30931403
NA,29.3,15,6.2,3,,,,0.30931403
NA,21,9.7,2.4,2,,,,0.30931403
NA,36.3,17.2,6.4,3,,,,0.30931403
NA,25.5,13.1,3.75,2,,,,0.30931403
NA,32.8,15,5.1,3,,,,0.30931403
NA,28.1,15.3,3.4,2,,,,0.30931403
NA,24.2,11.1,2.4,2,,,,0.30931403
NA,28.3,14.6,6.3,3,,,,0.30931403
NA,20.1,9.9,1.1,1,,,,0.30931403
NA,30.3,14.6,6.35,3,,,,0.30931403
NA,21,10.9,2.7,2,,,,0.30931403
NA,22.3,13.1,1.8,2,,,,0.30931403
NA,31.5,14.6,6.2,3,,,,0.30931403
NA,15.9,11.2,1.2,2,,,,0.30931403
NA,23.8,14.7,6.55,3,,,,0.30931403
NA,29.9,16,5.6,3,,,,0.30931403
NA,21.3,10.9,2.6,2,,"
",,0.30931403
NA,NA,10.5,3,2,,Dead tree against the base of the palm,,0.30931403
NA,20.1,12.1,3.2,2,,,,0.30931403
NA,28.1,10.5,3.4,2,,,,0.30931403
NA,26.1,11.2,2.4,2,,,,0.30931403
NA,19.7,15,1.4,2,,,,0.30931403
NA,22.3,11.7,2.1,2,,,,0.30931403
NA,27.1,14.6,6.6,3,,,,0.30931403
NA,24.2,12.7,5.85,3,,,,0.30931403
NA,20.3,12.7,1.6,2,,,,0.30931403
NA,35.1,16.9,8.4,3,,,,0.30931403
NA,22,10.2,1.7,2,,,,0.30931403
NA,20.3,8.9,2.3,2,,,,0.30931403
NA,22.3,10.8,1.4,2,,,,0.30931403
NA,16.8,9.5,1.6,2,,,,0.30931403
NA,16.2,13.1,3.4,2,,,,0.30931403
NA,19.4,9.6,2.2,2,,,,0.30931403
NA,32.2,15.3,7.8,3,,,,0.30931403
NA,35,15.6,6.4,3,,,,0.30931403
NA,24.8,10.8,2.4,2,,,,0.30931403
NA,36,16.8,9.2,4,,,,0.30931403
NA,29.5,17.5,10.1,4,,,,0.30931403
NA,17.2,6.6,1.1,2,,,,0.30931403
NA,30.8,13.7,3.5,2,,,,0.30931403
NA,24.6,12.8,2.9,2,,,,0.30931403
NA,16,7.9,1,1,,,,0.30931403
NA,21.6,6.5,2.2,2,,,,0.30931403
NA,19.4,7.6,1.75,2,,,,0.30931403
NA,29.9,15,7.6,3,,,,0.30931403
NA,29.9,13.9,4.35,2,,,,0.30931403
NA,20.7,10.5,3,2,,,,0.30931403
NA,26.4,12.6,4.2,2,,,,0.30931403
NA,21.2,9,1.2,2,,,,0.30931403
NA,26.7,12.7,2.9,2,,,,0.30931403
NA,27.4,14,3.6,2,,,,0.30931403
NA,28.1,12.7,4.3,2,,,,0.30931403
NA,33.7,15.6,8.4,3,,,,0.30931403
NA,34.4,16.6,12.8,4,,,,0.30931403
NA,30.6,13.6,5.55,3,,,,0.30931403
NA,19.4,9.9,1.2,2,,,,0.30931403
NA,NA,12.6,4.55,2,,"Overgrown by second pair of roots, unable to reach the base through these extra roots",,0.30931403
NA,26.1,14.3,4.4,2,,,,0.30931403
NA,25.2,13.4,4.2,2,,,,0.30931403
NA,16,9.9,0.7,1,,,,0.30931403
NA,12.4,9.3,0.8,1,,,,0.30931403
NA,17.5,8.9,1.1,1,,,,0.30931403
NA,18.2,10.8,2.1,2,,,,0.30931403
NA,32.5,16.6,5.1,3,,,,0.30931403
NA,25.7,14.1,3.2,2,,,,0.30931403
NA,35,16.6,5.95,3,,,,0.30931403
702,26.4,13.4,4.45,2,,,,0.30931403
